County/Region,State,Year,Average Value
Baltimore City,MD,2006,110655.26168181817
Anne Arundel,MD,2006,389744.35259090905
Richmond,NY,2006,424601.0681272727
Onondaga,NY,2006,115675.34532727272
Orange,NY,2006,297929.94199090917
Rockland,NY,2006,488337.7093727272
Howard,MD,2006,471949.32230000006
Albany,NY,2006,203749.3049727273
Dutchess,NY,2006,315333.0132181818
Frederick,MD,2006,385397.6092909091
Harford,MD,2006,311331.37863636366
Saratoga,NY,2006,234519.7357
Oneida,NY,2006,98209.95897727273
Niagara,NY,2006,91852.96751363637
Broome,NY,2006,90195.24376090908
Ulster,NY,2006,249586.5734
Carroll,MD,2006,352018.89162727277
Charles,MD,2006,391224.06455454545
Rensselaer,NY,2006,177001.7745090909
Schenectady,NY,2006,165009.9372272727
Washington,MD,2006,185568.5927181818
Chautauqua,NY,2006,73930.69740818182
Oswego,NY,2006,85123.14628818182
Jefferson,NY,2006,100774.12855363637
Saint Marys,MD,2006,346029.7474181818
Ontario,NY,2006,139641.5729
Saint Lawrence,NY,2006,75008.57250636363
Tompkins,NY,2006,139390.7227
Cecil,MD,2006,274072.3022454545
Wicomico,MD,2006,209623.67414545454
Putnam,NY,2006,410104.80400909093
Steuben,NY,2006,98886.44486636364
Calvert,MD,2006,385957.21985454555
Wayne,NY,2006,119598.02558181818
Chemung,NY,2006,80635.22530363637
Clinton,NY,2006,121006.39674545456
Sullivan,NY,2006,130411.64275454548
Cattaraugus,NY,2006,83593.69455000001
Cayuga,NY,2006,109308.94483636365
Allegany,MD,2006,85683.76023363635
Madison,NY,2006,122893.23680000001
Warren,NY,2006,184185.50372727273
Livingston,NY,2006,127196.94606363638
Columbia,NY,2006,197877.55383636363
Herkimer,NY,2006,97050.40530272727
Otsego,NY,2006,108678.72517272727
Genesee,NY,2006,122286.52658181818
Fulton,NY,2006,103317.00279090909
Worcester,MD,2006,323730.2396545454
Queen Annes,MD,2006,453164.7715818181
Tioga,NY,2006,121013.9689090909
Greene,NY,2006,144081.73244545455
Franklin,NY,2006,105328.5928
Chenango,NY,2006,88915.17095
Cortland,NY,2006,108241.57232727273
Delaware,NY,2006,124105.7208
Wyoming,NY,2006,109820.6296
Orleans,NY,2006,95384.99194090911
Talbot,MD,2006,296375.8465454545
Essex,NY,2006,128922.11207272726
Seneca,NY,2006,117841.45789999998
Caroline,MD,2006,163931.39854545455
Dorchester,MD,2006,165183.81170909092
Schoharie,NY,2006,130424.82361818184
Garrett,MD,2006,215060.70458181817
Lewis,NY,2006,104653.85475454545
Somerset,MD,2006,143368.40744545456
Yates,NY,2006,158899.60504545455
Kent,MD,2006,260128.89097272733
Schuyler,NY,2006,131177.76956363636
Hamilton,NY,2006,151439.18153636364
Kings,NY,2007,473764.3207636364
Queens,NY,2007,501415.21650000004
New York,NY,2007,947396.6362454544
Suffolk,NY,2007,444997.07225454546
Bronx,NY,2007,475679.7293545455
Nassau,NY,2007,503483.03779090906
Montgomery,MD,2007,313018.7869090908
Westchester,NY,2007,586442.6296181818
Prince Georges,MD,2007,356698.0095363636
Erie,NY,2007,118198.6874818182
Baltimore,MD,2007,286524.41552727274
Monroe,NY,2007,125372.01233636365
Baltimore City,MD,2007,123099.20184545453
Anne Arundel,MD,2007,389093.3341727273
Richmond,NY,2007,428353.6072272727
Onondaga,NY,2007,120638.45420909091
Orange,NY,2007,296604.2500909091
Rockland,NY,2007,467482.05164545454
Howard,MD,2007,468455.34273636364
Albany,NY,2007,213346.05309090906
Dutchess,NY,2007,309977.2386181818
Frederick,MD,2007,374003.02138181817
Harford,MD,2007,316822.9615272727
Saratoga,NY,2007,242029.6137909091
Oneida,NY,2007,106025.77456363635
Niagara,NY,2007,93500.42977909092
Broome,NY,2007,98099.74567545456
Ulster,NY,2007,246760.75619090907
Carroll,MD,2007,349844.6811727273
Charles,MD,2007,399425.0440181819
Rensselaer,NY,2007,186696.68534545452
Schenectady,NY,2007,172365.29885454543
Washington,MD,2007,191129.06573181815
Chautauqua,NY,2007,76349.39807363636
Oswego,NY,2007,87585.0326509091
Jefferson,NY,2007,110622.41430000002
Saint Marys,MD,2007,357955.5013363636
Ontario,NY,2007,142803.62221818184
Saint Lawrence,NY,2007,79283.04524272728
Tompkins,NY,2007,143292.51313636362
Cecil,MD,2007,280477.47570000007
Wicomico,MD,2007,217677.2284
Putnam,NY,2007,406382.07205454545
Steuben,NY,2007,103347.50604545455
Calvert,MD,2007,393595.0318
Wayne,NY,2007,121870.55475454545
Chemung,NY,2007,83901.7018409091
Clinton,NY,2007,125492.75166363636
Sullivan,NY,2007,136550.2623363636
Cattaraugus,NY,2007,89854.85228545453
Cayuga,NY,2007,116643.20007272727
Allegany,MD,2007,90605.06070181816
Madison,NY,2007,130486.24298181821
Warren,NY,2007,186487.61737272728
Livingston,NY,2007,131700.84477272726
Columbia,NY,2007,215173.1734363636
Herkimer,NY,2007,102077.51185818181
Otsego,NY,2007,123684.11817272728
Genesee,NY,2007,124446.32984545454
Fulton,NY,2007,110517.8576090909
Worcester,MD,2007,308928.80007272726
Queen Annes,MD,2007,456284.516190909
Tioga,NY,2007,121434.75899090907
Greene,NY,2007,131426.27523636364
Franklin,NY,2007,106077.61946363637
Chenango,NY,2007,94578.70392090907
Cortland,NY,2007,117970.77100000001
Delaware,NY,2007,128295.7961
Wyoming,NY,2007,114139.57648181818
Orleans,NY,2007,97512.84951636364
