County/Region,Year,Average Value
Madison,2011,118978.95968181817
Warren,2011,181587.12742727273
Livingston,2011,114324.52471818183
Columbia,2011,198748.3980090909
Washington,2011,130663.75123636363
Herkimer,2011,93780.33762
Otsego,2011,119979.98430909091
Genesee,2011,101920.87815454545
Fulton,2011,106043.05012727273
Montgomery,2011,100508.89905454544
Tioga,2011,108894.56487272726
Greene,2011,158198.31542727273
Franklin,2011,95683.62967363634
Chenango,2011,89383.39823818182
Cortland,2011,107904.46524545456
Allegany,2011,68280.85802636364
Delaware,2011,125145.84830909093
Wyoming,2011,97959.94008818181
Orleans,2011,87379.11346000001
Essex,2011,136100.33299090908
Seneca,2011,100027.22419272727
Schoharie,2011,121204.60475454548
Lewis,2011,100667.33293636363
Yates,2011,142061.72008181817
Schuyler,2011,118976.04114545454
Hamilton,2011,145818.91107272726
Kings,2012,438984.29999166663
Queens,2012,425545.13959999994
New York,2012,957392.6573166669
Suffolk,2012,353689.21552500007
Bronx,2012,341956.0374583333
Nassau,2012,416364.63625
Westchester,2012,479048.3807916667
Erie,2012,122126.63001666668
Monroe,2012,122885.65486666666
Richmond,2012,376656.5097333333
Onondaga,2012,119497.05748333334
Orange,2012,212768.90400833334
Rockland,2012,362776.41709166666
Albany,2012,194826.37583333332
Dutchess,2012,233174.6124416667
Saratoga,2012,232546.94800833333
Oneida,2012,105949.65927500003
Niagara,2012,101039.71338333334
Broome,2012,99505.42988916665
Ulster,2012,189625.31933333332
Rensselaer,2012,168280.11959166665
Schenectady,2012,155410.81245833336
Chautauqua,2012,80917.00336583331
Oswego,2012,95182.34876416666
Jefferson,2012,135563.765425
Ontario,2012,145173.67843333332
Saint Lawrence,2012,77197.72043666667
Tompkins,2012,171502.3936
Putnam,2012,292887.78557500005
Steuben,2012,91766.15152083333
Wayne,2012,107285.94142500001
Chemung,2012,92753.79409333332
Clinton,2012,117255.15135833334
Sullivan,2012,131463.15613333334
Cattaraugus,2012,78515.58682416666
Cayuga,2012,108630.4003
Madison,2012,117857.06200833333
