"Data Source: DCJS, Uniform Crime Reporting File. Includes all reports received as of 8/7/2023.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
County/Region,Year,Population,Index Total Count,Index Total Rate,Violent Total Count,Violent Total Rate,Murder Count,Murder Rate,Rape Count,Rape Rate,Robbery Count,Robbery Rate,Agg Assault Count,Agg Assault Rate,Property Total Count,Property Total Rate,Burglary Count,Burglary Rate,Larceny Count,Larceny Rate,MV Theft Count,MV Theft Rate
Oswego,2007,122810,2641,2150.5,160,130.3,1,0.8,20,16.3,26,21.2,113,92,2481,2020.2,541,440.5,1878,1529.2,62,50.5
Oswego,2008,121286,2593,2137.9,184,151.7,3,2.5,35,28.9,21,17.3,125,103.1,2409,1986.2,582,479.9,1756,1447.8,71,58.5
Oswego,2009,121238,2789,2300.4,176,145.2,1,0.8,31,25.6,26,21.4,118,97.3,2613,2155.3,655,540.3,1880,1550.7,78,64.3
Oswego,2010,119906,3288,2742.1,189,157.6,3,2.5,28,23.4,32,26.7,126,105.1,3099,2584.5,768,640.5,2227,1857.3,104,86.7
Oswego,2011,122658,3217,2622.7,181,147.6,2,1.6,28,22.8,22,17.9,129,105.2,3036,2475.2,653,532.4,2281,1859.6,102,83.2
Oswego,2012,122888,3328,2708.2,206,167.6,0,0,35,28.5,27,22,144,117.2,3122,2540.5,791,643.7,2230,1814.7,101,82.2
Oswego,2013,121698,2678,2200.5,158,129.8,2,1.6,15,12.3,29,23.8,112,92,2520,2070.7,521,428.1,1919,1576.9,80,65.7
Oswego,2014,121109,2557,2111.3,159,131.3,2,1.7,33,27.2,24,19.8,100,82.6,2398,1980,572,472.3,1766,1458.2,60,49.5
Oswego,2015,120368,2374,1972.3,251,208.5,2,1.7,126,104.7,26,21.6,97,80.6,2123,1763.8,507,421.2,1565,1300.2,51,42.4
Oswego,2016,118961,2314,1945.2,265,222.8,0,0,121,101.7,22,18.5,122,102.6,2049,1722.4,461,387.5,1518,1276,70,58.8
