"Table 1. Real Gross Domestic Product, by County, 2019�2022",,,,,,,,,
,Real gross domestic product,,,,,Percent change from preceding period,,,
,Thousands of chained (2017) dollars,,,,Rank in state,Percent change,,,Rank in state
Cheyenne,"152,796","157,189","268,021","225,906",48,2.9,70.5,-15.7,51
Clear Creek,"510,813","458,996","453,180","489,076",37,-10.1,-1.3,7.9,3
Conejos,"202,589","197,039","200,227","146,533",52,-2.7,1.6,-26.8,60
Costilla,"90,373","83,847","80,248","80,316",59,-7.2,-4.3,0.1,34
Crowley,"118,957","116,982","118,584","81,960",58,-1.7,1.4,-30.9,63
Custer,"138,599","133,029","152,786","161,211",50,-4.0,14.9,5.5,9
Delta,"857,113","865,487","848,581","864,046",29,1.0,-2.0,1.8,25
Denver,"81,847,452","81,106,700","90,125,050","96,723,136",1,-0.9,11.1,7.3,5
Dolores,"109,603","99,324","96,343","97,584",55,-9.4,-3.0,1.3,29
Douglas,"19,732,560","20,685,090","21,882,857","23,055,766",7,4.8,5.8,5.4,11
Eagle,"4,269,058","4,064,792","4,603,031","4,766,584",13,-4.8,13.2,3.6,19
Elbert,"713,323","707,248","781,676","786,665",30,-0.9,10.5,0.6,32
El Paso,"36,754,546","37,861,027","39,902,458","40,283,198",3,3.0,5.4,1.0,30
Fremont,"1,421,765","1,415,918","1,475,276","1,514,276",20,-0.4,4.2,2.6,21
Garfield,"3,734,069","3,569,193","3,739,932","3,576,538",14,-4.4,4.8,-4.4,41
Gilpin,"621,252","531,034","667,277","703,080",32,-14.5,25.7,5.4,10
Grand,"984,840","886,555","999,197","1,022,285",26,-10.0,12.7,2.3,23
Gunnison,"1,063,392","990,435","1,066,040","1,180,904",23,-6.9,7.6,10.8,1
Hinsdale,"39,441","36,973","38,137","40,578",62,-6.3,3.1,6.4,7
Huerfano,"218,418","231,406","247,614","242,371",46,5.9,7.0,-2.1,37
Jackson,"139,458","112,830","107,896","90,327",57,-19.1,-4.4,-16.3,54
Jefferson,"33,509,272","33,187,800","34,621,810","35,362,942",4,-1.0,4.3,2.1,24
Kiowa,"73,791","62,621","92,820","39,361",64,-15.1,48.2,-57.6,64
Kit Carson,"370,051","350,799","493,936","400,534",40,-5.2,40.8,-18.9,57
Lake,"306,526","301,141","318,068","344,487",45,-1.8,5.6,8.3,2
La Plata,"3,123,825","2,992,923","3,141,564","3,067,952",15,-4.2,5.0,-2.3,38
Larimer,"20,425,737","20,431,541","21,886,159","22,240,217",8,0.0,7.1,1.6,27
Las Animas,"530,881","523,743","505,527","472,329",39,-1.3,-3.5,-6.6,44
Lincoln,"358,089","365,401","382,573","348,018",44,2.0,4.7,-9.0,47
Logan,"982,461","911,750","1,037,893","989,351",27,-7.2,13.8,-4.7,42
Mesa,"6,825,311","6,634,541","6,885,621","6,892,730",11,-2.8,3.8,0.1,33
Mineral,"59,598","51,285","59,180","62,174",61,-13.9,15.4,5.1,14
Moffat,"1,004,112","1,005,486","1,053,681","1,082,175",24,0.1,4.8,2.7,20
Montezuma,"1,425,441","1,229,433","1,323,197","1,241,890",22,-13.8,7.6,-6.1,43
Montrose,"1,604,966","1,574,154","1,625,362","1,646,722",19,-1.9,3.3,1.3,28
Morgan,"1,541,163","1,468,908","1,516,862","1,354,877",21,-4.7,3.3,-10.7,49
Otero,"579,074","565,897","582,018","529,354",36,-2.3,2.8,-9.0,48
Ouray,"207,696","213,027","265,904","242,025",47,2.6,24.8,-9.0,46
Park,"422,958","413,268","453,440","477,523",38,-2.3,9.7,5.3,12
Phillips,"189,693","179,572","197,724","166,179",49,-5.3,10.1,-16.0,52
Pitkin,"2,412,710","2,182,437","2,479,414","2,667,189",17,-9.5,13.6,7.6,4
Prowers,"495,901","443,432","506,399","397,143",41,-10.6,14.2,-21.6,59
Pueblo,"6,417,332","6,179,360","6,616,075","6,510,540",12,-3.7,7.1,-1.6,36
Rio Blanco,"582,577","557,718","567,205","550,209",34,-4.3,1.7,-3.0,39
