"Table 1. Real Gross Domestic Product, by County, 2019�2022",,,,,,,,,
,Real gross domestic product,,,,,Percent change from preceding period,,,
,Thousands of chained (2017) dollars,,,,Rank in state,Percent change,,,Rank in state
Rio Grande,"470,645","465,819","437,544","369,167",42,-1.0,-6.1,-15.6,50
Routt,"2,030,834","1,861,306","2,115,227","2,241,414",18,-8.3,13.6,6.0,8
Saguache,"216,669","189,414","195,640","159,703",51,-12.6,3.3,-18.4,55
San Juan,"36,106","33,144","38,088","39,700",63,-8.2,14.9,4.2,15
San Miguel,"652,216","616,683","755,060","785,429",31,-5.4,22.4,4.0,16
Sedgwick,"75,647","66,436","80,213","63,212",60,-12.2,20.7,-21.2,58
Summit,"2,759,136","2,546,647","2,861,880","2,974,044",16,-7.7,12.4,3.9,17
Teller,"957,666","993,924","1,024,376","1,048,247",25,3.8,3.1,2.3,22
Washington,"150,548","129,039","168,627","121,710",53,-14.3,30.7,-27.8,61
Weld,"21,722,559","19,737,477","20,178,684","18,410,721",9,-9.1,2.2,-8.8,45
Yuma,"464,330","399,874","435,858","366,139",43,-13.9,9.0,-16.0,53
,,,,,,,,,
Connecticut,"274,219,351","258,625,032","268,846,677","276,668,755",--,-5.7,4.0,2.9,--
Fairfield,"88,934,335","83,855,524","87,235,525","90,361,060",1,-5.7,4.0,3.6,2
Hartford,"86,102,668","79,709,107","83,341,632","85,951,890",2,-7.4,4.6,3.1,4
Litchfield,"8,315,237","8,093,020","8,736,437","9,056,222",6,-2.7,8.0,3.7,1
Middlesex,"9,772,486","9,146,260","9,351,538","9,680,844",5,-6.4,2.2,3.5,3
New Haven,"51,494,190","49,996,059","52,016,888","52,659,909",3,-2.9,4.0,1.2,8
New London,"19,209,683","17,957,743","18,262,159","18,792,350",4,-6.5,1.7,2.9,5
Tolland,"5,492,343","5,107,898","5,212,167","5,351,325",7,-7.0,2.0,2.7,7
Windham,"4,906,700","4,758,386","4,697,941","4,827,252",8,-3.0,-1.3,2.8,6
,,,,,,,,,
Delaware,"74,597,399","72,550,314","74,436,666","75,172,590",--,-2.7,2.6,1.0,--
Kent,"8,384,005","8,000,617","8,254,518","8,312,232",3,-4.6,3.2,0.7,3
New Castle,"52,410,571","51,226,928","52,034,009","52,459,336",1,-2.3,1.6,0.8,2
Sussex,"13,811,749","13,330,228","14,154,897","14,407,861",2,-3.5,6.2,1.8,1
,,,,,,,,,
District of Columbia,"138,867,379","137,762,271","142,676,290","144,029,597",--,-0.8,3.6,0.9,--
,,,,,,,,,
Florida,"1,079,271,045","1,068,377,540","1,164,778,182","1,218,430,197",--,-1.0,9.0,4.6,--
Alachua,"14,070,148","13,996,423","14,937,482","15,415,264",19,-0.5,6.7,3.2,42
Baker,"651,384","704,618","735,779","746,597",51,8.2,4.4,1.5,53
Bay,"8,658,254","8,771,093","9,501,883","9,794,242",26,1.3,8.3,3.1,44
Bradford,"617,665","651,723","638,836","652,739",53,5.5,-2.0,2.2,48
Brevard,"26,348,425","26,587,950","29,191,295","30,082,101",10,0.9,9.8,3.1,45
Broward,"111,228,607","109,429,320","119,327,415","124,843,480",2,-1.6,9.0,4.6,28
Calhoun,"272,338","280,156","298,154","298,501",63,2.9,6.4,0.1,57
Charlotte,"5,658,676","5,983,852","6,234,758","6,475,991",29,5.7,4.2,3.9,35
Citrus,"4,147,491","4,208,962","4,459,685","4,615,213",35,1.5,6.0,3.5,37
Clay,"5,504,610","5,477,250","5,843,169","6,039,501",30,-0.5,6.7,3.4,41
Collier,"20,295,361","20,239,264","22,806,993","23,677,213",13,-0.3,12.7,3.8,36
Columbia,"2,297,452","2,342,595","2,341,993","2,332,181",40,2.0,0.0,-0.4,60
DeSoto,"965,758","938,427","940,852","989,688",48,-2.8,0.3,5.2,21
Dixie,"270,140","294,032","280,787","272,996",64,8.8,-4.5,-2.8,64
Duval,"67,313,811","67,932,413","72,733,497","76,660,524",6,0.9,7.1,5.4,17
Escambia,"16,016,044","15,938,497","17,083,352","17,254,591",16,-0.5,7.2,1.0,55
Flagler,"2,866,294","2,978,154","3,212,415","3,379,603",38,3.9,7.9,5.2,20
Franklin,"356,694","355,390","367,050","385,534",59,-0.4,3.3,5.0,22
Gadsden,"1,239,370","1,311,791","1,231,259","1,221,089",46,5.8,-6.1,-0.8,61
Gilchrist,"348,400","402,834","378,142","360,989",60,15.6,-6.1,-4.5,65
Glades,"318,548","310,787","297,174","315,403",62,-2.4,-4.4,6.1,13
Gulf,"400,419","423,598","453,034","475,457",56,5.8,6.9,4.9,24
Hamilton,"499,562","492,787","502,456","534,170",55,-1.4,2.0,6.3,10
Hardee,"956,907","955,355","945,501","1,005,913",47,-0.2,-1.0,6.4,9
Hendry,"1,284,413","1,338,746","1,306,965","1,339,088",44,4.2,-2.4,2.5,46
Hernando,"4,294,368","4,358,989","4,659,852","4,845,571",33,1.5,6.9,4.0,31
Highlands,"2,564,490","2,453,455","2,513,431","2,666,455",39,-4.3,2.4,6.1,14
Hillsborough,"94,479,878","95,989,002","104,157,662","109,736,885",4,1.6,8.5,5.4,18
Holmes,"366,503","354,703","379,532","404,221",58,-3.2,7.0,6.5,8
Indian River,"6,828,186","6,937,570","7,895,295","7,901,043",28,1.6,13.8,0.1,58
Jackson,"1,345,118","1,321,265","1,330,866","1,303,591",45,-1.8,0.7,-2.0,63
Jefferson,"249,572","247,793","261,044","260,172",66,-0.7,5.3,-0.3,59
Lafayette,"131,996","140,450","143,138","162,799",67,6.4,1.9,13.7,1
Lake,"10,161,856","10,460,591","11,333,699","11,869,072",23,2.9,8.3,4.7,27
Lee,"33,089,321","33,048,241","35,789,303","37,489,983",8,-0.1,8.3,4.8,26
Leon,"15,296,800","14,920,892","16,018,602","16,867,731",17,-2.5,7.4,5.3,19
Levy,"916,269","988,048","1,011,795","924,886",49,7.8,2.4,-8.6,67
Liberty,"261,273","299,632","291,037","269,186",65,14.7,-2.9,-7.5,66
Madison,"409,761","426,723","427,944","453,130",57,4.1,0.3,5.9,15
Manatee,"15,780,295","15,536,245","16,892,032","17,556,802",15,-1.5,8.7,3.9,32
Marion,"10,291,593","10,698,622","11,457,254","11,682,542",24,4.0,7.1,2.0,52
Martin,"7,752,528","8,370,060","8,291,578","8,801,544",27,8.0,-0.9,6.2,12
Miami-Dade,"167,321,203","156,638,289","174,396,302","184,513,444",1,-6.4,11.3,5.8,16
Monroe,"5,207,848","4,966,713","5,570,690","5,914,857",31,-4.6,12.2,6.2,11
Nassau,"2,881,647","3,021,533","3,281,865","3,438,877",37,4.9,8.6,4.8,25
Okaloosa,"12,423,158","12,790,604","13,777,331","14,067,684",20,3.0,7.7,2.1,49
Okeechobee,"1,541,346","1,651,855","1,608,153","1,737,364",42,7.2,-2.6,8.0,3
Orange,"101,440,588","95,182,258","107,983,785","115,012,917",3,-6.2,13.4,6.5,7
Osceola,"11,594,422","11,253,659","12,407,249","13,276,516",21,-2.9,10.3,7.0,6
Palm Beach,"87,095,128","87,415,511","96,812,350","100,113,799",5,0.4,10.7,3.4,39
Pasco,"13,722,020","13,964,893","15,458,249","16,064,543",18,1.8,10.7,3.9,33
Pinellas,"50,823,168","51,176,720","54,741,510","57,077,799",7,0.7,7.0,4.3,30
Polk,"27,402,843","28,204,116","29,827,560","30,523,799",9,2.9,5.8,2.3,47
Putnam,"2,176,041","2,256,793","2,136,212","2,166,268",41,3.7,-5.3,1.4,54
St. Johns,"10,025,749","10,716,450","11,721,991","12,581,337",22,6.9,9.4,7.3,5
St. Lucie,"9,712,946","10,073,193","10,832,170","11,200,099",25,3.7,7.5,3.4,40
Santa Rosa,"4,832,487","4,945,621","5,247,338","5,510,110",32,2.3,6.1,5.0,23
Sarasota,"21,887,546","22,266,839","23,340,358","24,245,059",12,1.7,4.8,3.9,34
Seminole,"22,937,165","23,160,228","24,754,135","25,601,950",11,1.0,6.9,3.4,38
Sumter,"3,769,715","3,829,805","4,464,154","4,810,632",34,1.6,16.6,7.8,4
Suwannee,"1,112,200","1,143,005","1,196,097","1,349,099",43,2.8,4.6,12.8,2
Taylor,"731,177","774,112","723,620","713,405",52,5.9,-6.5,-1.4,62
Union,"306,648","314,859","334,794","345,288",61,2.7,6.3,3.1,43
Volusia,"18,751,320","18,867,106","19,801,014","20,209,249",14,0.6,4.9,2.1,51
Wakulla,"747,412","753,135","798,539","815,355",50,0.8,6.0,2.1,50
Walton,"3,439,071","3,507,457","4,089,495","4,272,984",36,2.0,16.6,4.5,29
Washington,"592,251","603,131","632,470","634,762",54,1.8,4.9,0.4,56
,,,,,,,,,
Georgia,"620,792,426","602,321,806","639,236,039","655,827,268",--,-3.0,6.1,2.6,--
Appling,"1,528,272","1,640,886","1,529,807","1,710,046",44,7.4,-6.8,11.8,12
Atkinson,"241,076","236,220","244,818","246,038",125,-2.0,3.6,0.5,96
Bacon,"354,973","354,173","344,963","371,667",112,-0.2,-2.6,7.7,24
Baker,"72,715","68,161","72,292","64,455",154,-6.3,6.1,-10.8,157
Baldwin,"1,397,628","1,298,799","1,392,897","1,427,458",52,-7.1,7.2,2.5,64
Banks,"413,171","383,754","413,690","503,310",97,-7.1,7.8,21.7,3
Barrow,"2,279,343","2,367,211","2,512,231","2,637,067",36,3.9,6.1,5.0,38
Bartow,"5,034,135","4,979,678","5,151,554","5,358,344",19,-1.1,3.5,4.0,46
Ben Hill,"525,686","532,383","563,711","557,514",94,1.3,5.9,-1.1,115
Berrien,"415,631","366,478","388,533","424,323",106,-11.8,6.0,9.2,16
Bibb,"8,394,009","8,134,016","8,553,958","8,471,749",12,-3.1,5.2,-1.0,114
Bleckley,"230,516","225,933","228,909","214,857",128,-2.0,1.3,-6.1,147
Brantley,"253,108","261,030","270,982","294,971",119,3.1,3.8,8.9,20
Brooks,"411,247","480,025","477,328","466,890",99,16.7,-0.6,-2.2,129
Bryan,"1,052,900","1,059,905","1,257,540","1,234,851",58,0.7,18.6,-1.8,125
Bulloch,"2,542,393","2,408,658","2,557,107","2,657,323",35,-5.3,6.2,3.9,47
Burke,"2,995,508","3,148,430","2,843,910","2,797,824",34,5.1,-9.7,-1.6,122
Butts,"675,694","687,564","723,889","756,994",79,1.8,5.3,4.6,43
Calhoun,"124,062","124,201","121,609","104,182",151,0.1,-2.1,-14.3,158
Camden,"1,868,832","1,854,407","1,909,791","1,898,086",42,-0.8,3.0,-0.6,111
Candler,"276,886","277,143","291,115","288,962",120,0.1,5.0,-0.7,112
Carroll,"4,768,609","4,809,373","5,024,418","5,311,463",21,0.9,4.5,5.7,31
Catoosa,"1,549,643","1,547,780","1,680,706","1,706,003",45,-0.1,8.6,1.5,83
Charlton,"197,623","195,230","202,548","205,916",131,-1.2,3.7,1.7,79
Chatham,"19,165,598","18,554,929","20,317,408","21,089,705",5,-3.2,9.5,3.8,52
Chattahoochee,"1,622,428","1,645,056","1,666,017","1,629,344",48,1.4,1.3,-2.2,130
Chattooga,"566,028","505,942","524,684","539,492",95,-10.6,3.7,2.8,61
Cherokee,"8,240,947","8,240,245","8,695,415","8,859,076",11,0.0,5.5,1.9,74
Clarke,"7,907,202","7,547,997","7,895,037","7,927,966",13,-4.5,4.6,0.4,98
Clay,"73,985","86,750","76,307","70,000",153,17.3,-12.0,-8.3,151
Clayton,"18,739,470","14,920,732","16,909,218","19,608,272",6,-20.4,13.3,16.0,9
Clinch,"229,401","234,564","208,170","208,030",130,2.3,-11.3,-0.1,107
Cobb,"56,664,239","55,077,229","59,648,530","60,878,701",2,-2.8,8.3,2.1,72
Coffee,"1,554,935","1,520,290","1,596,452","1,645,634",47,-2.2,5.0,3.1,57
Colquitt,"1,461,475","1,509,813","1,522,294","1,502,550",51,3.3,0.8,-1.3,118
Columbia,"4,213,061","4,164,958","4,341,227","4,279,183",27,-1.1,4.2,-1.4,121
Cook,"382,141","363,446","398,958","399,818",108,-4.9,9.8,0.2,103
Coweta,"5,012,320","5,006,633","5,299,342","5,312,725",20,-0.1,5.8,0.3,102
Crawford,"152,896","127,638","150,245","158,323",139,-16.5,17.7,5.4,35
Crisp,"871,311","875,971","934,835","938,077",71,0.5,6.7,0.3,101
Dade,"406,009","393,815","414,036","439,507",104,-3.0,5.1,6.2,28
Dawson,"906,030","857,954","959,218","991,104",66,-5.3,11.8,3.3,56
Decatur,"818,728","846,699","907,245","928,092",73,3.4,7.2,2.3,68
DeKalb,"41,785,889","41,012,324","43,219,120","44,206,311",4,-1.9,5.4,2.3,70
Dodge,"438,684","416,853","420,368","405,038",107,-5.0,0.8,-3.6,141
Dooly,"407,175","393,338","383,411","371,694",111,-3.4,-2.5,-3.1,136
Dougherty,"4,550,741","4,513,071","4,767,478","4,850,153",23,-0.8,5.6,1.7,76
Douglas,"4,849,226","4,814,863","5,205,566","5,453,077",18,-0.7,8.1,4.8,41
Early,"492,928","504,938","510,506","498,268",98,2.4,1.1,-2.4,133
Echols,"42,989","42,298","42,017","40,087",156,-1.6,-0.7,-4.6,143
Effingham,"1,946,681","2,086,527","2,075,384","2,177,896",40,7.2,-0.5,4.9,39
Elbert,"631,050","641,974","656,611","711,424",81,1.7,2.3,8.3,23
Emanuel,"671,844","682,397","689,818","709,568",82,1.6,1.1,2.9,59
Evans,"399,614","395,330","389,857","396,326",109,-1.1,-1.4,1.7,80
Fannin,"792,352","740,596","852,331","849,442",76,-6.5,15.1,-0.3,108
Fayette,"5,423,860","5,400,316","5,627,565","5,766,885",17,-0.4,4.2,2.5,65
Floyd,"4,087,017","3,919,567","4,138,165","4,188,604",28,-4.1,5.6,1.2,91
Forsyth,"10,446,478","10,402,741","11,226,711","11,624,043",9,-0.4,7.9,3.5,54
Franklin,"914,079","841,263","919,569","1,076,417",60,-8.0,9.3,17.1,7
Fulton,"187,227,918","179,115,067","191,139,183","195,682,693",1,-4.3,6.7,2.4,66
Gilmer,"865,456","801,439","915,645","1,001,365",65,-7.4,14.3,9.4,15
Glascock,"33,618","35,354","33,329","33,378",158,5.2,-5.7,0.1,104
Glynn,"4,105,135","3,997,765","4,292,344","4,371,694",25,-2.6,7.4,1.8,75
Gordon,"2,287,865","2,160,163","2,376,402","2,502,149",37,-5.6,10.0,5.3,36
Grady,"614,278","639,563","646,439","632,160",87,4.1,1.1,-2.2,131
Greene,"765,385","738,340","853,681","813,025",77,-3.5,15.6,-4.8,145
Gwinnett,"50,553,806","49,499,654","52,134,687","53,030,183",3,-2.1,5.3,1.7,77
Habersham,"1,490,171","1,437,575","1,424,095","1,502,760",50,-3.5,-0.9,5.5,34
Hall,"11,294,935","11,587,468","12,133,816","12,920,593",7,2.6,4.7,6.5,26
Hancock,"167,402","169,925","161,847","161,955",137,1.5,-4.8,0.1,105
Haralson,"861,185","828,102","889,047","986,629",67,-3.8,7.4,11.0,13
Harris,"545,294","553,445","558,720","579,802",92,1.5,1.0,3.8,53
Hart,"876,748","824,490","802,564","922,421",74,-6.0,-2.7,14.9,11
Heard,"1,234,790","1,226,846","1,094,935","1,342,167",55,-0.6,-10.8,22.6,2
Henry,"6,753,532","7,014,885","7,531,645","7,735,480",14,3.9,7.4,2.7,63
Houston,"7,090,404","7,110,113","7,369,748","7,469,376",15,0.3,3.7,1.4,86
Irwin,"214,490","208,703","221,562","208,154",129,-2.7,6.2,-6.1,146
Jackson,"3,328,027","3,640,655","4,044,017","4,411,349",24,9.4,11.1,9.1,18
Jasper,"273,897","270,988","275,183","279,332",122,-1.1,1.5,1.5,82
Jeff Davis,"398,652","410,028","440,051","453,101",101,2.9,7.3,3.0,58
Jefferson,"523,223","546,462","556,163","517,089",96,4.4,1.8,-7.0,149
Jenkins,"145,616","152,361","145,793","142,775",143,4.6,-4.3,-2.1,127
Johnson,"131,543","126,049","123,712","124,825",147,-4.2,-1.9,0.9,94
Jones,"453,399","418,492","433,471","438,887",105,-7.7,3.6,1.2,90
Lamar,"418,398","405,120","436,383","453,328",100,-3.2,7.7,3.9,50
Lanier,"133,513","130,040","130,755","131,378",146,-2.6,0.6,0.5,97
Laurens,"1,798,280","1,784,700","1,889,051","1,848,599",43,-0.8,5.8,-2.1,128
Lee,"703,086","720,386","732,958","730,406",80,2.5,1.7,-0.3,109
Liberty,"3,669,548","3,599,457","3,880,808","3,813,634",30,-1.9,7.8,-1.7,123
Lincoln,"132,395","136,659","135,593","138,220",144,3.2,-0.8,1.9,73
Long,"179,458","157,702","189,275","193,708",133,-12.1,20.0,2.3,67
Lowndes,"5,120,153","5,074,281","5,277,025","5,206,615",22,-0.9,4.0,-1.3,119
Lumpkin,"864,427","839,257","923,873","967,471",70,-2.9,10.1,4.7,42
McDuffie,"658,928","666,646","667,504","653,813",85,1.2,0.1,-2.1,126
McIntosh,"257,371","249,576","247,062","239,483",126,-3.0,-1.0,-3.1,137
Macon,"411,705","379,609","413,831","448,626",102,-7.8,9.0,8.4,21
Madison,"525,827","471,017","530,600","632,890",86,-10.4,12.6,19.3,4
Marion,"108,748","117,772","111,586","108,135",150,8.3,-5.3,-3.1,138
Meriwether,"602,802","586,261","605,094","630,442",88,-2.7,3.2,4.2,45
Miller,"212,016","215,420","208,161","186,127",135,1.6,-3.4,-10.6,156
Mitchell,"725,462","766,084","727,524","763,793",78,5.6,-5.0,5.0,37
Monroe,"1,604,599","1,204,117","1,304,450","1,384,688",54,-25.0,8.3,6.2,29
Montgomery,"147,803","140,888","140,901","135,619",145,-4.7,0.0,-3.7,142
Morgan,"889,349","926,330","1,024,178","1,070,547",62,4.2,10.6,4.5,44
Murray,"1,232,176","1,199,779","1,310,426","1,420,602",53,-2.6,9.2,8.4,22
Muscogee,"10,812,139","10,591,901","10,718,123","10,215,324",10,-2.0,1.2,-4.7,144
Newton,"3,117,505","3,088,645","3,048,784","3,072,178",32,-0.9,-1.3,0.8,95
Oconee,"1,530,752","1,554,526","1,640,160","1,685,139",46,1.6,5.5,2.7,62
Oglethorpe,"299,177","250,714","297,639","353,158",114,-16.2,18.7,18.7,5
Paulding,"3,150,896","3,104,259","3,327,217","3,513,446",31,-1.5,7.2,5.6,33
Peach,"933,586","878,789","914,699","935,644",72,-5.9,4.1,2.3,69
Pickens,"1,023,198","975,135","1,055,992","1,071,632",61,-4.7,8.3,1.5,85
Pierce,"411,116","436,631","448,717","440,704",103,6.2,2.8,-1.8,124
Pike,"339,923","328,280","348,625","360,580",113,-3.4,6.2,3.4,55
Polk,"1,240,250","1,169,518","1,237,566","1,307,380",57,-5.7,5.8,5.6,32
Pulaski,"289,539","271,423","288,910","281,447",121,-6.3,6.4,-2.6,134
Putnam,"555,106","525,774","581,813","589,173",91,-5.3,10.7,1.3,89
Quitman,"36,737","39,085","36,796","31,314",159,6.4,-5.9,-14.9,159
Rabun,"575,330","541,899","601,899","593,532",90,-5.8,11.1,-1.4,120
Randolph,"179,958","184,384","176,271","178,953",136,2.5,-4.4,1.5,81
Richmond,"12,290,168","12,039,123","12,649,618","12,837,731",8,-2.0,5.1,1.5,84
Rockdale,"3,895,227","4,035,425","4,367,957","4,315,644",26,3.6,8.2,-1.2,116
Schley,"109,861","111,509","106,963","109,993",148,1.5,-4.1,2.8,60
Screven,"325,077","300,095","328,023","299,494",118,-7.7,9.3,-8.7,155
Seminole,"307,771","308,298","294,987","316,470",116,0.2,-4.3,7.3,25
Spalding,"2,091,487","1,991,656","2,147,235","2,230,604",39,-4.8,7.8,3.9,51
Stephens,"912,728","915,598","948,097","1,008,097",63,0.3,3.5,6.3,27
Stewart,"132,613","134,541","131,147","153,527",140,1.5,-2.5,17.1,6
Sumter,"1,043,146","1,027,431","988,808","1,001,904",64,-1.5,-3.8,1.3,88
Talbot,"134,846","155,055","130,305","151,565",141,15.0,-16.0,16.3,8
Taliaferro,"30,390","25,830","29,754","36,542",157,-15.0,15.2,22.8,1
Tattnall,"594,248","531,228","573,583","625,907",89,-10.6,8.0,9.1,17
Taylor,"219,951","210,877","205,041","203,859",132,-4.1,-2.8,-0.6,110
Telfair,"301,473","257,755","269,234","269,053",123,-14.5,4.5,-0.1,106
Terrell,"226,170","223,433","236,151","215,782",127,-1.2,5.7,-8.6,154
Thomas,"2,128,670","2,153,585","2,313,890","2,284,524",38,1.2,7.4,-1.3,117
Tift,"1,945,296","1,907,110","1,962,488","1,944,304",41,-2.0,2.9,-0.9,113
Toombs,"960,687","959,484","1,004,191","970,418",69,-0.1,4.7,-3.4,139
Towns,"377,245","350,828","387,972","389,474",110,-7.0,10.6,0.4,99
Treutlen,"100,775","101,900","94,206","98,751",152,1.1,-7.6,4.8,40
Troup,"3,621,137","3,498,513","3,677,842","3,821,471",29,-3.4,5.1,3.9,48
Turner,"206,558","193,135","196,270","189,217",134,-6.5,1.6,-3.6,140
Twiggs,"268,355","251,333","275,029","266,852",124,-6.3,9.4,-3.0,135
Union,"823,718","798,670","859,002","868,898",75,-3.0,7.6,1.2,92
Upson,"691,433","633,584","669,806","695,893",83,-8.4,5.7,3.9,49
Walker,"1,422,070","1,404,147","1,527,052","1,615,845",49,-1.3,8.8,5.8,30
Walton,"2,709,474","2,680,401","2,793,283","2,821,174",33,-1.1,4.2,1.0,93
Ware,"1,415,915","1,330,060","1,333,672","1,338,301",56,-6.1,0.3,0.3,100
Warren,"159,391","170,516","159,387","161,534",138,7.0,-6.5,1.3,87
Washington,"623,348","619,558","625,091","685,386",84,-0.6,0.9,9.6,14
Wayne,"1,082,101","1,175,477","1,252,567","1,174,205",59,8.6,6.6,-6.3,148
Webster,"56,112","62,621","62,290","57,116",155,11.6,-0.5,-8.3,152
Wheeler,"102,118","101,761","117,447","109,193",149,-0.3,15.4,-7.0,150
White,"901,500","814,615","898,885","979,976",68,-9.6,10.3,9.0,19
Whitfield,"5,645,986","5,470,011","5,723,306","5,842,191",16,-3.1,4.6,2.1,71
Wilcox,"158,369","142,558","144,521","146,958",142,-10.0,1.4,1.7,78
Wilkes,"319,160","275,408","304,996","352,415",115,-13.7,10.7,15.5,10
Wilkinson,"540,580","553,153","591,126","577,164",93,2.3,6.9,-2.4,132
Worth,"359,723","340,511","332,492","303,988",117,-5.3,-2.4,-8.6,153
,,,,,,,,,
Hawaii,"88,945,262","79,592,540","84,121,542","85,211,432",--,-10.5,5.7,1.3,--
Hawaii,"8,719,351","7,509,986","8,332,736","8,497,948",3,-13.9,11.0,2.0,3
Honolulu,"65,648,269","59,885,935","62,531,675","63,071,690",1,-8.8,4.4,0.9,4
Kauai,"4,169,841","3,636,464","3,792,141","3,940,174",4,-12.8,4.3,3.9,1
Maui + Kalawao,"10,407,877","8,558,733","9,459,908","9,692,556",2,-17.8,10.5,2.5,2
,,,,,,,,,
Idaho,"81,261,310","82,818,589","87,992,888","91,683,659",--,1.9,6.2,4.2,--
Ada,"28,905,316","29,363,366","31,678,303","33,232,323",1,1.6,7.9,4.9,20
Adams,"119,068","123,845","139,331","146,458",41,4.0,12.5,5.1,19
Bannock,"2,868,747","2,904,229","3,001,308","3,109,157",6,1.2,3.3,3.6,29
Bear Lake,"175,966","183,553","178,547","197,754",37,4.3,-2.7,10.8,7
Benewah,"343,142","355,818","364,419","388,366",34,3.7,2.4,6.6,15
Bingham,"1,396,284","1,436,179","1,453,637","1,592,950",10,2.9,1.2,9.6,9
Blaine,"1,560,624","1,552,062","1,804,322","1,870,040",8,-0.5,16.3,3.6,28
Boise,"170,460","162,884","178,526","192,322",38,-4.4,9.6,7.7,12
Bonner,"1,550,754","1,642,470","1,742,372","1,814,132",9,5.9,6.1,4.1,23
Bonneville,"6,910,038","6,864,828","6,953,155","6,954,453",4,-0.7,1.3,0.0,35
Boundary,"389,852","369,593","378,907","396,956",32,-5.2,2.5,4.8,21
Butte,"1,181,936","1,279,385","1,296,495","1,366,945",14,8.2,1.3,5.4,18
Camas,"71,205","71,871","77,919","80,604",43,0.9,8.4,3.4,30
Canyon,"6,602,407","6,708,390","7,424,925","7,957,058",2,1.6,10.7,7.2,14
Caribou,"597,820","677,504","694,818","656,500",21,13.3,2.6,-5.5,42
Cassia,"1,488,963","1,481,837","1,480,848","1,528,835",12,-0.5,-0.1,3.2,32
Clark,"45,179","43,286","34,852","45,721",44,-4.2,-19.5,31.2,1
Clearwater,"340,227","345,974","353,090","395,209",33,1.7,2.1,11.9,6
Custer,"160,175","167,770","173,059","180,174",39,4.7,3.2,4.1,24
Elmore,"1,265,689","1,250,583","1,265,554","1,262,974",15,-1.2,1.2,-0.2,36
Franklin,"372,747","402,473","411,636","436,587",29,8.0,2.3,6.1,16
Fremont (includes Yellowstone National Park),"386,130","390,106","371,878","432,084",30,1.0,-4.7,16.2,3
Gem,"416,772","414,984","459,016","480,823",25,-0.4,10.6,4.8,22
Gooding,"1,190,073","1,230,347","1,201,401","1,152,730",17,3.4,-2.4,-4.1,41
Idaho,"438,411","458,283","506,267","489,859",24,4.5,10.5,-3.2,39
Jefferson,"857,775","866,490","889,510","972,435",18,1.0,2.7,9.3,10
Jerome,"1,228,535","1,260,587","1,278,898","1,258,129",16,2.6,1.5,-1.6,38
Kootenai,"6,575,138","6,883,769","7,661,498","7,948,925",3,4.7,11.3,3.8,27
Latah,"1,402,568","1,382,091","1,506,724","1,563,812",11,-1.5,9.0,3.8,26
Lemhi,"252,464","251,473","271,336","292,814",35,-0.4,7.9,7.9,11
Lewis,"151,653","154,905","175,571","169,761",40,2.1,13.3,-3.3,40
Lincoln,"260,678","254,675","261,055","256,926",36,-2.3,2.5,-1.6,37
Madison,"1,309,085","1,325,686","1,389,475","1,493,557",13,1.3,4.8,7.5,13
Minidoka,"847,151","883,805","827,518","933,430",19,4.3,-6.4,12.8,4
Nez Perce,"2,103,573","2,137,828","2,237,313","2,294,946",7,1.6,4.7,2.6,33
Oneida,"119,336","132,664","142,158","134,309",42,11.2,7.2,-5.5,43
Owyhee,"399,354","394,657","400,480","409,456",31,-1.2,1.5,2.2,34
Payette,"824,361","810,259","857,711","890,696",20,-1.7,5.9,3.8,25
Power,"424,727","447,153","373,505","440,674",28,5.3,-16.5,18.0,2
Shoshone,"446,031","547,477","646,216","589,501",23,22.7,18.0,-8.8,44
